Year,Silver Rates,Gold Rates
1981,2715,1800
1982,2720,1645
1983,3105,1800
1984,3570,1970
1985,3955,2130
1986,4015,2140
1987,4794,2570
1988,6066,3130
1989,6755,3140
1990,6463,3200
1991,6646,3466
1992,8040,4334
1993,5489,4140
1994,7124,4598
1995,6335,4680
1996,7346,5160
1997,7345,4725
1998,8560,4045
1999,7615,4234
2000,7900,4400
2001,7215,4300
2002,7875,4990
2003,7695,5600
2004,11770,5850
2005,10675,7000
2006,17405,8400
2007,19520,10800
2008,23625,12500
2009,22165,14500
2010,27255,18500
2011,56900,26400
2012,56290,31050
2013,54030,29600
2014,43070,28006
2015,37825,26343
2016,36990,28623
2017,37825,29667
2018,41400,31438
2019,40600,35220
2020,63435,48651
2021,62572,50045
2022,55100,52950
