Year,Silver Rates,Gold Rates,Label
1981,2715,1800,0
1982,2720,1645,0
1983,3105,1800,1
1984,3570,1970,0
1985,3955,2130,1
1986,4015,2140,1
1987,4794,2570,1
1988,6066,3130,0
1989,6755,3140,0
1990,6463,3200,1
1991,6646,3466,0
1992,8040,4334,1
1993,5489,4140,0
1994,7124,4598,1
1995,6335,4680,0
1996,7346,5160,1
1997,7345,4725,1
1998,8560,4045,1
1999,7615,4234,0
2000,7900,4400,0
2001,7215,4300,0
2002,7875,4990,1
2003,7695,5600,0
2004,11770,5850,1
2005,10675,7000,0
2006,17405,8400,0
2007,19520,10800,1
2008,23625,12500,1
2009,22165,14500,0
2010,27255,18500,1
2011,56900,26400,0
2012,56290,31050,1
2013,54030,29600,1
2014,43070,28006,0
2015,37825,26343,0
2016,36990,28623,1
2017,37825,29667,1
2018,41400,31438,1
2019,40600,35220,0
2020,63435,48651,0
2021,62572,50045,1
2022,55100,52950,0
